Date;Gold;Argent;Platine;Palladium
14.12.2018;2 650,86;31,22;1 704,12;2 692,50
15.12.2018;2 646,69;31,35;1 691,63;2 663,46
18.12.2018;2 654,04;31,23;1 679,25;2 675,24
19.12.2018;2 679,82;31,33;1 699,56;2 708,14
20.12.2018;2 694,11;31,62;1 706,74;2 725,18
21.12.2018;2 718,36;31,72;1 713,33;2 759,52
22.12.2018;2 749,77;32,29;1 733,91;2 752,83
25.12.2018;2 773,92;32,31;1 741,88;2 727,19
26.12.2018;2 787,61;32,43;1 750,47;2 740,64
27.12.2018;2 793,35;32,5;1 754,08;2 746,29
28.12.2018;2 814,75;32,5;1 762,68;2 790,17
29.12.2018;2 854,88;33,65;1 776,97;2 834,20
30.12.2018;2 856,68;34,16;1 760,02;2 836,58
10.01.2019;2 763,32;33,73;1 774,93;2 887,76
11.01.2019;2 778,16;33,58;1 771,28;2 835,34
12.01.2019;2 781,36;33,79;1 770,62;2 852,78
15.01.2019;2 794,74;33,87;1 730,38;2 836,44
16.01.2019;2 780,79;33,68;1 727,54;2 855,52
17.01.2019;2 769,98;33,48;1 717,15;2 859,05
18.01.2019;2 764,26;33,2;1 719,65;2 967,20
19.01.2019;2 740,48;33,22;1 727,39;3 021,87
22.01.2019;2 728,27;33,01;1 702,64;2 955,08
23.01.2019;2 748,89;32,65;1 696,72;2 849,98
24.01.2019;2 740,20;32,54;1 686,90;2 872,63
25.01.2019;2 715,63;32,65;1 680,62;2 858,33
26.01.2019;2 718,93;32,42;1 701,78;2 784,73
29.01.2019;2 757,73;32,59;1 719,07;2 859,47
30.01.2019;2 790,60;33,45;1 744,73;2 855,98
31.01.2019;2 790,18;33,69;1 734,10;2 856,16
01.02.2019;2 778,97;33,44;1 718,86;2 874,57
02.02.2019;2 788,13;33,93;1 735,26;2 866,76
05.02.2019;2 764,42;33,76;1 726,97;2 857,20
06.02.2019;2 770,04;33,19;1 728,64;2 890,20
07.02.2019;2 772,87;33,5;1 720,70;2 905,14
08.02.2019;2 773,37;33,39;1 708,68;2 916,44
09.02.2019;2 784,73;33,37;1 688,55;2 967,18
12.02.2019;2 758,22;33,31;1 669,60;2 929,72
13.02.2019;2 771,12;33,18;1 666,98;2 943,10
14.02.2019;2 768,63;33,38;1 670,28;2 975,25
15.02.2019;2 793,31;33,58;1 677,29;3 014,42
16.02.2019;2 826,58;33,41;1 689,94;3 036,75
19.02.2019;2 819,87;33,39;1 716,69;3 105,38
20.02.2019;2 829,88;33,55;1 730,43;3 154,36
21.02.2019;2 849,42;33,41;1 744,69;3 171,78
22.02.2019;2 813,17;33,79;1 727,87;3 082,78
23.02.2019;2 785,12;33,51;1 748,27;3 123,72
26.02.2019;2 788,69;33,3;1 783,38;3 197,50
27.02.2019;2 800,70;33,66;1 789,00;3 251,01
28.02.2019;2 804,29;33,47;1 826,61;3 287,48
01.03.2019;2 807,83;33,6;1 851,48;3 272,92
02.03.2019;2 771,83;33,46;1 823,98;3 243,80
05.03.2019;2 723,44;32,92;1 787,49;3 259,79
06.03.2019;2 718,46;32,07;1 770,70;3 219,84
07.03.2019;2 721,38;31,99;1 759,14;3 196,52
08.03.2019;2 728,21;32,01;1 751,79;3 272,41
12.03.2019;2 753,97;32,11;1 727,14;3 214,22
13.03.2019;2 742,36;32,34;1 761,35;3 275,31
14.03.2019;2 759,07;32,57;1 767,12;3 251,67
15.03.2019;2 731,86;32,63;1 751,57;3 265,53
16.03.2019;2 739,87;32,04;1 752,05;3 276,95
19.03.2019;2 714,04;31,93;1 729,87;3 241,42
20.03.2019;2 705,44;31,8;1 736,98;3 300,25
21.03.2019;2 692,86;31,85;1 775,26;3 304,59
22.03.2019;2 699,61;31,4;1 780,89;3 287,16
23.03.2019;2 688,11;31,86;1 759,13;3 247,62
26.03.2019;2 735,93;32,06;1 762,64;3 185,20
27.03.2019;2 713,44;32,03;1 757,72;3 224,56
28.03.2019;2 737,60;32,06;1 790,11;3 142,04
29.03.2019;2 722,80;32,08;1 787,56;2 979,27
30.03.2019;2 687,23;31,62;1 762,83;2 886,72
02.04.2019;2 717,15;31,7;1 783,53;2 900,34
03.04.2019;2 709,54;31,63;1 780,82;2 951,20
04.04.2019;2 706,51;31,77;1 801,76;2 998,04
05.04.2019;2 712,81;31,68;1 852,50;2 953,09
06.04.2019;2 710,41;31,95;1 909,42;2 815,77
09.04.2019;2 725,26;31,81;1 914,05;2 907,84
10.04.2019;2 711,25;31,77;1 882,68;2 901,08
11.04.2019;2 715,75;31,73;1 854,48;2 884,75
12.04.2019;2 701,25;31,39;1 871,71;2 836,55
13.04.2019;2 688,57;31,25;1 864,77;2 839,68
16.04.2019;2 657,89;30,85;1 836,30;2 831,92
17.04.2019;2 651,50;30,87;1 834,10;2 829,64
18.04.2019;2 623,51;30,84;1 817,40;2 800,11
19.04.2019;2 629,41;30,81;1 820,91;2 852,90
20.04.2019;2 623,31;30,75;1 830,17;2 868,63
23.04.2019;2 616,16;30,67;1 825,18;2 860,82
24.04.2019;2 611,74;30,71;1 833,52;2 820,01
25.04.2019;2 620,20;30,45;1 834,84;2 873,62
26.04.2019;2 657,28;30,91;1 834,11;2 946,64
27.04.2019;2 665,93;31,2;1 849,41;2 937,41
30.04.2019;2 666,72;31,14;1 861,50;3 032,47
01.05.2019;2 670,47;31,14;1 866,00;2 842,63
07.05.2019;2 685,68;30,78;1 795,99;2 854,67
08.05.2019;2 686,58;31,09;1 838,86;2 809,66
09.05.2019;2 700,60;31,31;1 826,62;2 785,01
14.05.2019;2 700,50;30,86;1 795,49;2 807,96
15.05.2019;2 724,24;30,98;1 795,03;2 792,26
16.05.2019;2 708,13;30,89;1 772,20;2 764,63
17.05.2019;2 689,10;30,71;1 760,15;2 775,14
18.05.2019;2 671,88;30,09;1 716,42;2 749,18
21.05.2019;2 644,05;29,89;1 698,08;2 730,62
22.05.2019;2 647,59;29,94;1 684,83;2 761,72
23.05.2019;2 638,46;29,9;1 677,52;2 723,38
24.05.2019;2 645,61;30,02;1 658,75;2 718,28
25.05.2019;2 662,03;30,22;1 674,29;2 771,09
28.05.2019;2 658,05;30,16;1 658,04;2 754,42
29.05.2019;2 664,08;30,05;1 678,67;2 763,88
30.05.2019;2 678,47;30;1 661,13;2 783,86
31.05.2019;2 669,91;30,12;1 656,60;2 800,75
01.06.2019;2 724,35;30,44;1 666,98;2 873,60
04.06.2019;2 769,32;30,99;1 679,78;2 815,79
05.06.2019;2 772,92;30,84;1 719,98;2 780,05
06.06.2019;2 800,97;31,07;1 723,19;2 793,12
07.06.2019;2 803,38;31,37;1 692,54;2 799,92
08.06.2019;2 790,11;31,18;1 679,13;2 816,67
11.06.2019;2 767,62;30,72;1 664,40;2 816,36
12.06.2019;2 743,48;30,48;1 665,61;2 874,88
14.06.2019;2 775,72;30,74;1 687,29;2 954,84
15.06.2019;2 801,67;31,13;1 694,53;3 038,97
18.06.2019;2 756,91;30,56;1 652,25;3 033,60
19.06.2019;2 781,10;30,81;1 650,60;3 067,47
20.06.2019;2 761,30;30,74;1 645,59;3 075,19
21.06.2019;2 815,75;31,24;1 660,94;3 105,85
22.06.2019;2 817,88;31,03;1 633,88;3 028,25
25.06.2019;2 842,64;31,09;1 638,29;3 066,24
26.06.2019;2 873,62;30,96;1 632,25;3 069,51
27.06.2019;2 840,70;30,8;1 625,56;3 085,54
28.06.2019;2 842,29;30,91;1 645,88;3 082,99
29.06.2019;2 865,87;30,87;1 654,79;3 112,87
02.07.2019;2 817,96;30,94;1 688,69;3 144,24
03.07.2019;2 831,86;30,84;1 697,37;3 152,84
04.07.2019;2 909,22;31,25;1 696,41;3 182,56
05.07.2019;2 884,84;31,15;1 704,10;3 186,02
06.07.2019;2 891,42;31,09;1 700,84;3 203,38
09.07.2019;2 884,91;30,95;1 669,47;3 225,99
10.07.2019;2 845,37;30,8;1 656,50;3 185,89
11.07.2019;2 862,32;30,96;1 667,61;3 179,33
12.07.2019;2 882,23;30,92;1 681,01;3 242,53
13.07.2019;2 847,96;30,68;1 669,55;3 154,72
16.07.2019;2 860,78;30,95;1 694,75;3 151,15
17.07.2019;2 859,79;31,09;1 702,42;3 134,23
18.07.2019;2 834,84;31,59;1 689,81;3 076,07
19.07.2019;2 870,20;32,38;1 714,97;3 096,64
20.07.2019;2 904,57;32,98;1 732,17;3 076,28
23.07.2019;2 884,19;33,18;1 719,03;3 037,16
24.07.2019;2 877,12;33,35;1 713,02;3 070,85
25.07.2019;2 892,77;33,55;1 749,20;3 104,72
26.07.2019;2 896,27;33,58;1 788,91;3 125,02
27.07.2019;2 878,45;33,37;1 751,53;3 109,32
30.07.2019;2 897,85;33,47;1 770,63;3 128,72
31.07.2019;2 910,73;33,53;1 795,20;3 152,30
01.08.2019;2 916,76;33,59;1 782,01;3 117,49
02.08.2019;2 886,37;32,85;1 748,57;3 107,20
03.08.2019;2 984,54;33,66;1 756,16;2 953,26
06.08.2019;3 048,33;34,48;1 782,00;2 953,27
07.08.2019;3 064,51;34,35;1 792,36;3 004,03
08.08.2019;3 113,34;35,2;1 787,25;2 990,60
09.08.2019;3 135,52;35,64;1 794,54;2 965,07
10.08.2019;3 154,30;35,67;1 810,55;2 998,00
13.08.2019;3 159,47;35,67;1 798,56;2 995,50
14.08.2019;3 221,08;36,79;1 824,41;3 037,16
15.08.2019;3 145,23;35,88;1 779,78;3 025,00
16.08.2019;3 215,04;36,63;1 779,48;3 031,48
17.08.2019;3 201,94;36,41;1 769,60;3 070,28
20.08.2019;3 210,86;36,24;1 807,43;3 115,89
21.08.2019;3 226,42;36,54;1 833,67;3 186,38
22.08.2019;3 194,86;36,45;1 798,06;3 178,56
23.08.2019;3 161,83;35,78;1 793,26;3 094,96
24.08.2019;3 154,36;35,96;1 813,94;3 125,89
27.08.2019;3 189,70;36,16;1 805,05;3 096,80
28.08.2019;3 263,35;37,76;1 823,56;3 148,63
29.08.2019;3 291,97;39,21;1 853,37;3 155,85
30.08.2019;3 297,60;39,66;1 965,71;3 186,76
31.08.2019;3 263,29;39,3;1 998,74;3 206,54
03.09.2019;3 263,01;39,31;2 004,91;3 287,96
04.09.2019;3 296,48;39,74;2 013,44;3 304,11
05.09.2019;3 290,00;41,27;2 069,61;3 303,26
06.09.2019;3 275,94;40,82;2 085,42;3 312,89
07.09.2019;3 193,33;38,5;1 994,57;3 299,53
10.09.2019;3 183,15;38,3;1 996,39;3 265,47
11.09.2019;3 144,52;37,85;1 973,48;3 248,45
12.09.2019;3 142,18;38,21;1 975,36;3 285,96
13.09.2019;3 150,08;38,13;1 999,52;3 349,30
14.09.2019;3 122,25;37,61;1 979,52;3 333,05
17.09.2019;3 082,34;36,6;1 955,64;3 320,28
18.09.2019;3 090,88;36,78;1 921,36;3 279,92
19.09.2019;3 111,72;36,98;1 943,01;3 308,09
20.09.2019;3 093,77;36,66;1 916,06;3 278,77
21.09.2019;3 087,59;36,7;1 939,88;3 380,93
24.09.2019;3 123,92;37,79;1 963,37;3 408,66
25.09.2019;3 113,77;38,01;1 960,12;3 391,81
26.09.2019;3 159,17;38,32;1 968,74;3 450,45
27.09.2019;3 114,97;37,14;1 918,11;3 406,30
28.09.2019;3 098,54;36,28;1 923,97;3 427,52
01.10.2019;3 091,60;35,86;1 922,38;3 514,31
02.10.2019;3 067,01;35,79;1 843,01;3 487,28
03.10.2019;3 122,35;36,31;1 838,84;3 460,98
04.10.2019;3 149,40;36,85;1 863,67;3 545,17
05.10.2019;3 156,00;36,81;1 848,23;3 472,75
08.10.2019;3 130,78;36,32;1 823,67;3 443,10
09.10.2019;3 128,29;36,61;1 837,35;3 397,32
10.10.2019;3 146,52;37,21;1 856,43;3 472,18
11.10.2019;3 139,30;36,95;1 852,53;3 505,23
12.10.2019;3 093,85;36,34;1 862,48;3 522,61
15.10.2019;3 092,08;36,43;1 843,82;3 520,03
16.10.2019;3 087,91;36,5;1 842,73;3 565,64
17.10.2019;3 067,03;35,7;1 830,85;3 603,77
18.10.2019;3 055,16;35,91;1 815,25;3 640,80
19.10.2019;3 058,56;35,85;1 815,60;3 606,53
22.10.2019;3 056,17;36,34;1 830,60;3 612,01
23.10.2019;3 043,12;36,06;1 816,73;3 592,54
24.10.2019;3 065,02;35,97;1 835,83;3 595,76
25.10.2019;3 056,83;35,99;1 886,84;3 580,69
26.10.2019;3 095,87;37,29;1 909,39;3 652,13
29.10.2019;3 090,57;37,22;1 905,62;3 661,33
30.10.2019;3 063,49;37,05;1 879,86;3 694,04
31.10.2019;3 060,14;36,27;1 891,34;3 665,63
01.11.2019;3 088,73;36,82;1 898,68;3 696,88
02.11.2019;3 108,27;37,17;1 918,67;3 689,12
06.11.2019;3 059,56;36,98;1 903,33;3 631,78
07.11.2019;3 043,19;36,89;1 897,20;3 632,90
08.11.2019;3 040,86;35,94;1 909,63;3 681,98
09.11.2019;3 005,50;35,92;1 831,76;3 663,52
12.11.2019;3 011,34;34,54;1 816,46;3 534,29
13.11.2019;2 987,00;34,65;1 802,46;3 492,02
14.11.2019;3 020,71;34,54;1 804,03;3 539,94
15.11.2019;3 029,82;34,99;1 806,35;3 573,48
16.11.2019;3 010,41;34,99;1 799,35;3 557,61
19.11.2019;2 989,35;34,58;1 807,87;3 509,16
20.11.2019;3 003,55;34,44;1 835,06;3 528,65
21.11.2019;3 037,48;35,25;1 877,20;3 635,01
22.11.2019;3 015,06;35,13;1 871,97;3 620,78
23.11.2019;3 013,70;35,01;1 866,02;3 625,54
26.11.2019;2 991,94;35,21;1 830,69;3 661,39
27.11.2019;3 000,45;34,73;1 850,51;3 717,50
28.11.2019;3 002,45;34,83;1 853,13;3 710,38
29.11.2019;3 003,83;35,15;1 838,30;3 777,59
30.11.2019;3 000,48;34,91;1 843,94;3 790,90
03.12.2019;3 018,22;35,13;1 853,38;3 812,38
04.12.2019;3 032,19;34,8;1 858,00;3 837,66
05.12.2019;3 046,02;35,11;1 874,03;3 836,81
06.12.2019;3 025,36;35,14;1 823,92;3 816,07
07.12.2019;3 021,37;34,56;1 837,59;3 826,78
10.12.2019;2 998,60;34,71;1 823,42;3 845,57
11.12.2019;2 993,49;33,97;1 843,78;3 842,92
12.12.2019;3 000,21;34,08;1 878,13;3 880,93
13.12.2019;2 997,70;33,87;1 910,79;3 917,11
14.12.2019;2 957,63;33,92;1 886,48;3 959,99
17.12.2019;2 981,48;34,18;1 880,83;3 957,41
18.12.2019;2 972,28;34,22;1 869,74;4 000,83
19.12.2019;2 975,68;34,33;1 871,25;3 895,41
20.12.2019;2 964,03;34,17;1 863,58;3 871,90
21.12.2019;2 963,30;33,99;1 867,99;3 890,47
24.12.2019;2 969,95;34,09;1 845,27;3 764,59
25.12.2019;2 979,80;34,73;1 868,81;3 749,61
26.12.2019;2 958,18;34,89;1 855,25;3 722,41
27.12.2019;2 960,64;34,92;1 856,79;3 725,50
28.12.2019;3 012,68;35,07;1 894,64;3 785,29
31.12.2019;3 008,36;35,48;1 896,77;3 795,53
01.01.2020;3 031,25;35,48;1 932,59;3 821,40
10.01.2020;3 047,28;36,26;1 878,16;4 173,68
11.01.2020;3 050,60;35,28;1 916,48;4 175,67
14.01.2020;3 037,92;35,1;1 896,80;4 148,27
15.01.2020;3 050,51;35,51;1 911,32;4 239,26
16.01.2020;3 065,17;35,1;1 971,16;4 317,59
17.01.2020;3 078,52;35,33;2 044,82;4 683,50
18.01.2020;3 079,29;35,63;2 009,99;4 684,71
21.01.2020;3 081,32;35,69;2 025,56;5 084,65
22.01.2020;3 094,90;35,91;2 000,62;4 904,11
23.01.2020;3 097,53;35,75;1 986,03;4 805,04
24.01.2020;3 095,33;35,39;1 999,75;4 937,64
25.01.2020;3 103,42;34,97;1 994,96;4 894,02
28.01.2020;3 173,57;35,74;1 990,18;4 764,01
29.01.2020;3 190,83;36,96;1 987,71;4 607,68
30.01.2020;3 151,82;36,06;1 989,94;4 661,93
31.01.2020;3 202,92;35,41;1 967,88;4 600,49
01.02.2020;3 209,04;35,98;1 977,17;4 668,88
04.02.2020;3 244,10;36,75;1 956,10;4 686,82
05.02.2020;3 204,39;36,24;1 998,67;4 902,85
06.02.2020;3 152,67;36,01;1 972,19;5 043,21
07.02.2020;3 159,22;35,57;1 970,54;4 873,85
08.02.2020;3 200,38;36,25;1 977,41;4 771,09
11.02.2020;3 227,24;36,43;1 988,77;4 853,01
12.02.2020;3 223,20;36,57;1 984,05;4 788,44
13.02.2020;3 175,81;35,89;1 958,09;4 745,22
14.02.2020;3 220,62;35,91;1 973,27;4 907,61
15.02.2020;3 215,88;35,99;1 982,96;4 979,83
18.02.2020;3 216,56;36,04;1 970,28;5 029,51
19.02.2020;3 256,20;36,49;2 009,24;5 211,72
20.02.2020;3 295,60;36,62;2 084,45;5 704,59
21.02.2020;3 300,14;37,59;2 041,13;5 543,43
22.02.2020;3 377,38;38,01;2 032,17;5 610,70
26.02.2020;3 456,30;39,19;2 018,39;5 585,53
27.02.2020;3 471,31;38,61;1 963,20;5 727,41
28.02.2020;3 473,34;38,13;1 934,32;5 895,77
29.02.2020;3 502,84;38,88;1 895,35;5 907,89
03.03.2020;3 432,64;36,65;1 863,78;5 672,38
04.03.2020;3 415,91;36,13;1 860,64;5 374,71
05.03.2020;3 494,33;35,71;1 863,16;5 175,20
06.03.2020;3 505,62;36,71;1 844,90;5 309,13
07.03.2020;3 662,03;37,34;1 890,71;5 350,87
11.03.2020;3 837,74;39,1;2 033,03;5 691,55
12.03.2020;3 820,22;39,22;2 022,13;5 439,07
13.03.2020;3 895,28;40,51;2 042,07;5 307,48
14.03.2020;3 737,00;38,88;1 884,80;4 647,28
17.03.2020;3 585,90;37,58;1 699,23;4 099,12
18.03.2020;3 497,72;30,8;1 522,76;3 760,58
19.03.2020;3 738,58;30,88;1 618,56;3 942,14
20.03.2020;3 815,92;32,01;1 564,30;4 105,33
21.03.2020;3 774,94;30,12;1 575,77;4 275,64
24.03.2020;3 886,30;32,84;1 607,05;4 314,06
25.03.2020;4 054,83;31,71;1 721,31;4 613,81
26.03.2020;4 054,15;34,08;1 835,80;5 119,74
27.03.2020;4 100,44;35,35;1 847,61;5 714,95
28.03.2020;4 051,63;36,03;1 861,87;5 923,00
07.04.2020;4 020,39;35,76;1 798,20;5 207,89
08.04.2020;4 008,13;36,57;1 807,32;5 312,79
09.04.2020;4 016,12;36,69;1 797,34;5 260,49
10.04.2020;3 987,68;36,4;1 765,37;5 228,96
11.04.2020;3 985,10;35,98;1 742,81;5 135,94
14.04.2020;3 972,83;35,87;1 737,44;5 120,13
15.04.2020;4 044,48;36,56;1 810,28;5 256,40
16.04.2020;4 057,99;36,9;1 848,58;5 282,67
17.04.2020;4 126,35;37,23;1 907,22;5 315,72
18.04.2020;4 025,22;36,04;1 842,45;5 182,64
21.04.2020;4 044,82;36,37;1 874,83;5 197,20
22.04.2020;4 115,41;36,7;1 870,64;5 234,36
23.04.2020;4 217,37;36,93;1 872,57;4 842,42
24.04.2020;4 172,81;36,97;1 850,24;4 710,13
25.04.2020;4 149,17;36,79;1 840,07;4 900,45
28.04.2020;4 112,99;36,42;1 832,25;4 759,06
29.04.2020;4 095,17;36,31;1 834,09;4 586,41
30.04.2020;4 041,80;35,93;1 847,95;4 638,83
01.05.2020;4 014,11;35,86;1 819,12;4 655,36
07.05.2020;4 040,41;35,85;1 795,58;4 221,39
08.05.2020;4 023,90;35,7;1 794,33;4 324,99
09.05.2020;4 047,21;35,58;1 800,29;4 298,85
13.05.2020;4 021,69;36,56;1 810,82;4 403,10
14.05.2020;4 021,35;36,81;1 797,94;4 341,08
15.05.2020;4 079,71;36,91;1 818,33;4 302,18
16.05.2020;4 083,17;38,25;1 821,70;4 295,34
19.05.2020;4 122,31;40,71;1 914,62;4 505,00
20.05.2020;4 038,71;39,85;1 875,92;4 633,95
21.05.2020;4 070,13;40,63;1 976,86;4 809,59
22.05.2020;3 951,23;39,23;1 922,26;4 647,17
23.05.2020;4 003,70;39,29;1 915,82;4 575,79
26.05.2020;3 990,41;39,13;1 922,06;4 408,08
27.05.2020;3 940,32;39,57;1 914,41;4 476,11
28.05.2020;3 895,83;39,27;1 898,62;4 489,52
29.05.2020;3 939,39;39,64;1 911,06;4 434,75
30.05.2020;3 925,38;40,01;1 910,77;4 369,75
02.06.2020;3 888,16;40,7;1 873,70;4 336,86
03.06.2020;3 859,62;40,52;1 876,31;4 333,69
04.06.2020;3 773,95;39,24;1 819,30;4 288,98
05.06.2020;3 786,42;39,39;1 848,33;4 326,83
06.06.2020;3 772,23;38,79;1 842,48;4 247,64
09.06.2020;3 716,12;38,72;1 827,31;4 282,77
10.06.2020;3 770,05;38,93;1 817,13;4 345,22
11.06.2020;3 789,36;39,08;1 850,94;4 246,80
12.06.2020;3 848,83;39,72;1 833,41;4 282,41
16.06.2020;3 871,06;38,67;1 821,92;4 304,70
17.06.2020;3 875,98;39,04;1 861,35;4 408,93
18.06.2020;3 836,28;39,03;1 822,86;4 309,20
19.06.2020;3 878,14;39,43;1 828,67;4 326,57
20.06.2020;3 866,43;39,2;1 800,63;4 247,69
23.06.2020;3 899,24;39,9;1 807,26;4 284,71
24.06.2020;3 887,67;39,42;1 825,87;4 271,43
25.06.2020;3 929,94;39,52;1 828,09;4 293,57
26.06.2020;3 927,51;39,15;1 802,34;4 176,42
27.06.2020;3 916,32;39,63;1 782,47;4 102,79
30.06.2020;3 978,00;40,27;1 826,18;4 216,85
01.07.2020;4 010,17;40,41;1 834,44;4 334,71
02.07.2020;4 047,99;41,26;1 868,41;4 382,27
03.07.2020;4 017,25;40,64;1 863,69;4 319,14
04.07.2020;4 022,46;40,84;1 840,50;4 329,25
07.07.2020;4 069,87;41,87;1 878,51;4 403,83
08.07.2020;4 119,83;41,81;1 907,35;4 462,09
09.07.2020;4 121,14;42,34;1 923,89;4 408,92
10.07.2020;4 130,29;42,92;1 955,25;4 455,14
11.07.2020;4 135,33;42,98;1 928,26;4 456,51
14.07.2020;4 112,58;43,43;1 906,11;4 510,52
15.07.2020;4 112,12;43,21;1 882,04;4 534,73
16.07.2020;4 118,45;44;1 896,13;4 497,90
17.07.2020;4 132,77;44,07;1 893,94;4 525,29
18.07.2020;4 156,86;44,18;1 902,16;4 569,81
21.07.2020;4 188,41;44,98;1 948,10;4 689,78
22.07.2020;4 159,87;46,9;1 943,95;4 750,36
23.07.2020;4 212,67;50,63;1 998,23;4 799,85
24.07.2020;4 294,60;52,16;2 117,24;4 918,94
25.07.2020;4 359,47;51,74;2 110,85;4 914,57
28.07.2020;4 466,19;56,1;2 165,72;5 206,01
29.07.2020;4 466,49;54,44;2 141,16;5 274,28
30.07.2020;4 538,78;56,52;2 194,67;5 271,85
31.07.2020;4 604,62;54,63;2 141,68;4 917,85
01.08.2020;4 661,68;56,82;2 143,52;4 943,31
04.08.2020;4 704,01;57,77;2 160,13;5 018,85
05.08.2020;4 653,01;57,4;2 177,58;4 954,40
06.08.2020;4 793,21;63,48;2 245,29;5 074,88
07.08.2020;4 811,98;65,48;2 294,27;5 213,18
08.08.2020;4 880,61;67,07;2 305,95;5 170,62
11.08.2020;4 815,71;67,05;2 305,51;5 194,50
12.08.2020;4 695,80;66,51;2 239,01;5 127,13
13.08.2020;4 548,31;60,77;2 208,58;5 015,22
14.08.2020;4 569,73;62,12;2 224,52;5 076,16
15.08.2020;4 586,18;62,86;2 224,47;5 060,97
18.08.2020;4 574,27;63,14;2 240,39;5 109,50
19.08.2020;4 733,95;66,87;2 294,79;5 229,38
20.08.2020;4 693,26;64,61;2 241,67;5 163,84
21.08.2020;4 572,94;63,84;2 208,14;5 146,79
22.08.2020;4 604,75;63,97;2 172,72;5 193,56
25.08.2020;4 659,72;64,33;2 215,55;5 191,95
26.08.2020;4 612,67;63,47;2 208,77;5 188,94
27.08.2020;4 659,27;64,1;2 239,17;5 257,91
28.08.2020;4 689,71;65,9;2 256,81;5 282,82
29.08.2020;4 693,40;65,63;2 231,70;5 231,29
01.09.2020;4 644,50;64,9;2 206,75;5 163,32
02.09.2020;4 703,11;68,34;2 247,52;5 377,48
03.09.2020;4 675,61;65,79;2 222,64;5 350,00
04.09.2020;4 692,80;65,27;2 215,26;5 566,05
05.09.2020;4 683,50;64,82;2 187,53;5 518,39
08.09.2020;4 686,60;65,21;2 201,86;5 589,70
09.09.2020;4 690,71;65,15;2 220,06;5 646,63
10.09.2020;4 716,38;64,9;2 228,08;5 517,61
11.09.2020;4 722,48;65,82;2 241,28;5 563,14
12.09.2020;4 681,88;64,71;2 239,21;5 547,47
15.09.2020;4 665,67;64,58;2 258,01;5 582,56
16.09.2020;4 746,61;66,59;2 332,75;5 630,03
17.09.2020;4 733,17;65,96;2 363,21;5 721,33
18.09.2020;4 680,61;64,66;2 299,08;5 717,49
19.09.2020;4 715,50;65,28;2 274,83;5 659,33
22.09.2020;4 720,43;64,44;2 261,33;5 737,66
23.09.2020;4 666,73;59,59;2 172,62;5 559,07
24.09.2020;4 635,01;57,92;2 096,44;5 479,23
25.09.2020;4 592,32;55,14;2 081,83;5 520,96
26.09.2020;4 618,65;55,89;2 116,62;5 522,48
29.09.2020;4 681,68;57,9;2 157,53;5 632,84
30.09.2020;4 822,55;61,06;2 239,11;5 802,74
01.10.2020;4 770,62;60,1;2 208,76;5 848,66
02.10.2020;4 709,54;58,68;2 233,59;5 769,07
03.10.2020;4 786,39;59,92;2 244,56;5 802,22
06.10.2020;4 771,68;60,07;2 212,96;5 814,99
07.10.2020;4 827,56;61,34;2 244,03;5 926,86
08.10.2020;4 740,23;59,08;2 169,26;5 925,29
09.10.2020;4 737,92;60,02;2 169,37;5 931,95
10.10.2020;4 736,09;60,22;2 176,86;5 968,41
13.10.2020;4 754,14;62,06;2 199,02;6 067,12
14.10.2020;4 772,77;61,96;2 164,25;6 003,24
15.10.2020;4 711,68;60,06;2 176,40;5 875,79
16.10.2020;4 740,64;59,98;2 142,65;5 881,64
17.10.2020;4 783,12;61,06;2 163,21;5 883,02
20.10.2020;4 785,15;62,23;2 184,64;5 874,97
21.10.2020;4 767,05;61,59;2 138,03;5 876,45
22.10.2020;4 752,55;61,97;2 169,54;5 943,94
23.10.2020;4 750,35;61,74;2 210,56;5 957,61
24.10.2020;4 697,13;60,87;2 192,95;5 853,59
27.10.2020;4 673,64;60,85;2 189,85;5 807,64
28.10.2020;4 667,69;59,68;2 145,92;5 813,41
29.10.2020;4 729,52;60,93;2 179,19;5 812,01
30.10.2020;4 759,17;60,67;2 195,94;5 662,27
31.10.2020;4 784,40;58,7;2 183,31;5 677,62
03.11.2020;4 887,70;61,2;2 222,68;5 787,27
04.11.2020;4 886,56;61,67;2 242,85;5 789,75
06.11.2020;4 834,96;60,47;2 239,90;5 902,45
07.11.2020;4 834,10;60,97;2 235,95;5 933,59
10.11.2020;4 842,82;63,78;2 236,54;6 044,10
11.11.2020;4 605,21;61,66;2 149,21;6 098,86
12.11.2020;4 596,93;59,28;2 173,26;6 039,56
13.11.2020;4 631,33;60,02;2 164,43;5 838,74
14.11.2020;4 669,38;60,2;2 212,62;5 842,32
17.11.2020;4 680,45;59,96;2 243,03;5 799,24
18.11.2020;4 622,23;59,49;2 270,17;5 712,20
19.11.2020;4 582,44;60,12;2 279,99;5 712,18
20.11.2020;4 554,16;59,62;2 304,79;5 678,60
21.11.2020;4 562,65;58,6;2 324,09;5 706,37
24.11.2020;4 539,73;58,86;2 313,95;5 687,45
25.11.2020;4 431,61;58,27;2 283,93;5 689,11
26.11.2020;4 388,45;56,19;2 339,15;5 670,73
27.11.2020;4 402,52;56,79;2 336,07;5 732,24
28.11.2020;4 409,74;56,97;2 336,51;5 829,09
01.12.2020;4 341,07;56,68;2 359,24;5 889,52
02.12.2020;4 407,43;54,35;2 409,59;5 889,01
03.12.2020;4 456,05;57,22;2 440,80;5 878,35
